STT ; Thành phố/Tỉnh ; Diện tích (km vuông) ; Dân số (người)
1 ; An Giang ; 3536.7 ; 1864651
2 ; Bà Rịa  Vũng Tàu ; 1980.8 ; 1181302
3 ; Bạc Liêu ; 2669 ; 917734
4 ; Bắc Giang ; 3851.4 ; 1858540
5 ; Bắc Kạn ; 4860 ; 318083
6 ; Bắc Ninh ; 822.7 ; 1450518
7 ; Bến Tre ; 2394.6 ; 1295067
8 ; Bình Dương ; 2694.7 ; 2678220
9 ; Bình Định ; 6066.2 ; 1487009
10 ; Bình Phước ; 6877 ; 1020839
11 ; Bình Thuận ; 7812.8 ; 1243977
12 ; Cà Mau ; 5294.8 ; 1191999
13 ; Cao Bằng ; 6700.3 ; 535098
14 ; Cần Thơ ; 1439.2 ; 1244736
15 ; Đà Nẵng ; 1284.9 ; 1191381
16 ; Đắk Lắk ; 13030.5 ; 1897710
17 ; Đắk Nông ; 6509.3 ; 652766
18 ; Điện Biên ; 9541 ; 623295
19 ; Đồng Nai ; 5905.7 ; 3236248
20 ; Đồng Tháp ; 3383.8 ; 1586438
21 ; Gia Lai ; 15510.8 ; 1566882
22 ; Hà Giang ; 7929.5 ; 883388
23 ; Hà Nam ; 860.9 ; 867258
24 ; Hà Nội ; 3358.9 ; 8418883
25 ; Hà Tĩnh ; 5990.7 ; 1301601
26 ; Hải Dương ; 1668.2 ; 1932090
27 ; Hải Phòng ; 1561.8 ; 2069110
28 ; Hậu Giang ; 1621.8 ; 728255
29 ; Hòa Bình ; 4591 ; 868623
30 ; TP. HCM ; 2061 ; 9411805
31 ; Hưng Yên ; 930.2 ; 1279308
32 ; Khánh Hòa ; 5137.8 ; 1246358
33 ; Kiên Giang ; 6348.8 ; 1730117
34 ; Kon Tum ; 9674.2 ; 565685
35 ; Lai Châu ; 9068.8 ; 480588
36 ; Lạng Sơn ; 8310.2 ; 791872
37 ; Lào Cai ; 6364 ; 756083
38 ; Lâm Đồng ; 9783.2 ; 1319952
39 ; Long An ; 4490.2 ; 1744138
40 ; Nam Định ; 1668 ; 1771000
41 ; Nghệ An ; 16493.7 ; 3417809
42 ; Ninh Bình ; 1387 ; 1000093
43 ; Ninh Thuận ; 3355.3 ; 595698
44 ; Phú Thọ ; 3534.6 ; 1495116
45 ; Phú Yên ; 5023.4 ; 875127
46 ; Quảng Bình ; 8065.3 ; 905895
47 ; Quảng Nam ; 10574.7 ; 1510960
48 ; Quảng Ngãi ; 5135.2 ; 1234704
49 ; Quảng Ninh ; 6177.7 ; 1358490
50 ; Quảng Trị ; 4739.8 ; 639414
51 ; Sóc Trăng ; 3311.8 ; 1181835
52 ; Sơn La ; 14123.5 ; 1286068
53 ; Tây Ninh ; 4041.4 ; 1190852
54 ; Thái Bình ; 1570.5 ; 1876579
55 ; Thái Nguyên ; 3536.4 ; 1322235
56 ; Thanh Hóa ; 11114.7 ; 3690022
57 ; Thừa Thiên Huế ; 5048.2 ; 1137045
58 ; Tiền Giang ; 2510.5 ; 1783165
59 ; Trà Vinh ; 2358.2 ; 1010404
60 ; Tuyên Quang ; 5867.9 ; 797392
61 ; Vĩnh Long ; 1475 ; 1022408
62 ; Vĩnh Phúc ; 1235.2 ; 1184074
63 ; Yên Bái ; 6887.7 ; 838181
